imagen, numeroROI, contadorObjetos, promedioRGB_R, promedioRGB_G, promedioRGB_B, desviacionRGB_R, desviacionRGB_G, desviacionRGB_B, promedioLAB_L, promedioLAB_A, promedioLAB_B, desviacionLAB_L, desviacionLAB_A, desviacionLAB_B, promedioHSV_H, promedioHSV_S, promedioHSV_V, desviacionHSV_H, desviacionHSV_S, desviacionHSV_V, sumaArea, perimetro, excentricidad, ejeMayor, ejeMenor, entropia, inercia, energia, x, y, w, h, clasificacion 
001.jpg,          2,          2,   225.0526,   223.8947,   178.5789,     2.6458,     2.6458,     2.6458,    88.1841,    -6.8415,    22.4260,     5.7548,     2.3714,     5.5076,     0.1609,     0.2106,     0.8847,     0.0109,     0.0519,     0.0637,         38,    22.7260,     0.3757,     7.9706,     7.3865,     0.0000,     0.0000,     0.0000,         50,         67,          8,          7, DEFECTOS 
001.jpg,          2,          3,   156.8356,   140.0959,    56.3836,     1.7321,     1.7321,     1.7321,    58.2654,    -3.4848,    44.1472,     6.7563,     3.1765,    10.1601,     0.1384,     0.6534,     0.6150,     0.0112,     0.1974,     0.0689,         73,    44.2120,     0.9745,    22.3391,     5.0125,     0.0000,     0.0000,     0.0000,         71,         96,         14,         16, DEFECTOS 
001.jpg,          2,          4,   219.2661,   220.0642,   146.3486,     1.4142,     1.4142,     1.4142,    86.2134,   -11.1624,    36.0834,     4.8906,     3.6600,     9.8476,     0.1682,     0.3412,     0.8699,     0.0118,     0.0946,     0.0542,        109,    59.9910,     0.9868,    31.6083,     5.1187,     0.0000,     0.0000,     0.0000,         73,         39,          5,         28, DEFECTOS 
001.jpg,          2,          5,   145.3763,   128.2151,    46.6613,     1.0000,     1.0000,     1.0000,    53.7684,    -2.9697,    44.1033,     5.4200,     3.4149,     9.3323,     0.1371,     0.6798,     0.5701,     0.0115,     0.1500,     0.0572,        186,    76.8960,     0.9649,    33.3156,     8.7469,     0.0000,     0.0000,     0.0000,         73,        114,         30,         11, DEFECTOS 
001.jpg,          2,          6,   181.5610,   172.4634,    87.4146,     2.4495,     2.4495,     2.4495,    69.5998,    -7.8845,    43.8479,     9.1407,     3.4655,    11.3417,     0.1506,     0.5249,     0.7120,     0.0126,     0.1487,     0.1069,         41,    29.8470,     0.9277,    13.4674,     5.0268,     0.0000,     0.0000,     0.0000,         76,         80,          6,         12, DEFECTOS 
001.jpg,          2,          7,   187.6667,   177.3030,   107.1212,     2.8284,     2.8284,     2.8284,    71.7469,    -6.1128,    36.9351,     4.5508,     2.4440,    10.0378,     0.1450,     0.4275,     0.7361,     0.0112,     0.1079,     0.0543,         33,    24.5210,     0.9416,    12.4207,     4.1836,     0.0000,     0.0000,     0.0000,         84,         80,          5,         11, DEFECTOS 
001.jpg,          2,          8,   116.3000,   107.6667,    51.9667,     3.0000,     3.0000,     3.0000,    45.1071,    -4.3704,    31.5907,     5.6419,     2.3968,     7.8134,     0.1423,     0.5636,     0.4561,     0.0110,     0.1542,     0.0545,         30,    21.8250,     0.8411,     9.2655,     5.0119,     0.0000,     0.0000,     0.0000,        104,        118,          9,          6, DEFECTOS 
001.jpg,          3,          1,   154.0500,   150.3500,   114.4000,     3.6056,     3.6056,     3.6056,    61.2584,    -4.5088,    19.2946,    15.4406,     3.0353,     5.5642,     0.1482,     0.2909,     0.6043,     0.0224,     0.1611,     0.1439,         20,    15.8290,     0.9254,     8.6289,     3.2693,     0.0000,     0.0000,     0.0000,          1,         73,          5,          7, DEFECTOS 
001.jpg,          3,          2,   217.1333,   221.7333,   194.2667,     4.1231,     4.1231,     4.1231,    87.3389,    -6.2565,    12.9703,     5.8736,     1.2880,     2.7350,     0.1945,     0.1250,     0.8695,     0.0013,     0.0299,     0.0642,         15,    24.0830,     0.9894,    14.5403,     2.1068,     0.0000,     0.0000,     0.0000,          5,         46,          7,         11, DEFECTOS 
001.jpg,          3,          3,   221.8000,   224.6000,   207.8000,     7.1414,     7.1414,     7.1414,    88.7551,    -3.8628,     7.8899,     3.5077,     0.4002,     0.7603,     0.1943,     0.0750,     0.8808,     0.0023,     0.0084,     0.0390,          5,     7.0130,     0.9315,     4.8819,     1.7759,     0.0000,     0.0000,     0.0000,         12,         40,          2,          4, DEFECTOS 
001.jpg,          3,          4,   232.2500,   235.5000,   214.0000,     5.3852,     5.3852,     5.3852,    92.4570,    -4.7657,    10.0530,     2.9692,     0.2940,     0.3798,     0.1918,     0.0914,     0.9235,     0.0022,     0.0050,     0.0331,          4,     6.5500,     0.9463,     4.8205,     1.5585,     0.0000,     0.0000,     0.0000,         15,         36,          2,          4, DEFECTOS 
001.jpg,          3,          5,   171.0000,   182.7917,   110.0417,     3.3166,     3.3166,     3.3166,    71.9217,   -15.3485,    35.3664,     6.2811,     3.9956,    10.3945,     0.1937,     0.3996,     0.7168,     0.0007,     0.1235,     0.0680,         24,    15.3160,     0.1415,     5.8878,     5.8286,     0.0000,     0.0000,     0.0000,         93,         68,          5,          5, DEFECTOS 
001.jpg,          4,          1,   166.7826,   168.3913,    89.6957,     3.3166,     3.3166,     3.3166,    67.3218,   -11.8409,    39.8398,     5.8102,     3.3652,     9.9444,     0.1687,     0.4720,     0.6633,     0.0068,     0.1231,     0.0631,         23,    14.0260,     0.1259,     5.5273,     5.4833,     0.0000,     0.0000,     0.0000,         87,         67,          5,          5, DEFECTOS 
001.jpg,          4,          2,   151.5833,   150.7500,    67.8750,     3.3166,     3.3166,     3.3166,    60.8738,   -10.8922,    42.2814,     5.4334,     2.2594,    10.0778,     0.1653,     0.5588,     0.5989,     0.0080,     0.1522,     0.0557,         24,    15.3160,     0.0000,     5.8878,     5.8878,     0.0000,     0.0000,     0.0000,         93,        103,          5,          5, DEFECTOS 
001.jpg,          4,          3,   180.2083,   187.0000,    77.7917,     3.3166,     3.3166,     3.3166,    73.4749,   -16.5517,    51.8190,     4.4471,     4.6086,    13.6037,     0.1757,     0.5836,     0.7337,     0.0055,     0.1731,     0.0487,         24,    14.6710,     0.4003,     5.8878,     5.3955,     0.0000,     0.0000,     0.0000,        119,         74,          5,          5, DEFECTOS 
002.jpg,          1,          1,   219.8288,   218.0360,   188.7477,     1.4142,     1.4142,     1.4142,    86.4436,    -4.2330,    14.6385,     7.7720,     1.5901,     4.7787,     0.1587,     0.1436,     0.8648,     0.0189,     0.0428,     0.0867,        111,    40.2920,     0.9228,    19.3857,     7.4673,     0.0000,     0.0000,     0.0000,         83,         13,         18,          7, CALYX 
002.jpg,          2,          1,   206.9684,   208.3474,   163.7684,     1.7321,     1.7321,     1.7321,    82.4374,    -7.6752,    22.0304,     7.4451,     2.6954,     6.7780,     0.1701,     0.2171,     0.8190,     0.0103,     0.0660,     0.0812,         95,    34.7840,     0.8797,    16.0959,     7.6548,     0.0000,     0.0000,     0.0000,         57,          5,         15,          7, CALYX 
002.jpg,          3,          1,   209.8846,   213.4808,   191.4519,     1.4142,     1.4142,     1.4142,    84.5754,    -5.0242,    10.5327,     7.7164,     2.7460,     5.8616,     0.1935,     0.1066,     0.8372,     0.0046,     0.0633,     0.0826,        104,    36.1900,     0.8438,    15.9175,     8.5428,     0.0000,     0.0000,     0.0000,         56,          8,         15,          8, CALYX 
002.jpg,          4,          1,   214.4836,   221.2787,   208.2705,     1.4142,     1.4142,     1.4142,    87.3003,    -4.6373,     5.6312,     8.6845,     2.2917,     2.4020,     0.2513,     0.0618,     0.8679,     0.0547,     0.0295,     0.0923,        122,    38.1500,     0.7849,    15.9888,     9.9069,     0.0000,     0.0000,     0.0000,         64,          6,         15,          9, CALYX 
002.jpg,          1,          1,   180.1111,   174.5556,   113.8889,     5.2915,     5.2915,     5.2915,    70.3956,    -7.1327,    31.8676,     7.5164,     0.4572,     3.9335,     0.1528,     0.3737,     0.7063,     0.0010,     0.0730,     0.0792,          9,     7.4760,     0.0000,     3.4641,     3.4641,     0.0000,     0.0000,     0.0000,          5,         94,          3,          3, DEFECTOS 
002.jpg,          1,          2,   171.0000,   167.5000,   132.5000,     0.0000,     1.0000,     4.2426,    68.1405,    -4.5787,    18.5880,     0.0239,     1.0823,     3.0437,     0.1509,     0.2251,     0.6706,     0.0044,     0.0322,     0.0000,          2,     1.9600,     0.8660,     2.3094,     1.1547,     0.0000,     0.0000,     0.0000,          6,         91,          1,          2, DEFECTOS 
002.jpg,          1,          3,   218.8800,   219.6800,   191.6800,     3.1623,     3.1623,     3.1623,    86.9232,    -4.9032,    13.6803,     4.0376,     3.4091,     8.0640,     0.1631,     0.1291,     0.8637,     0.0219,     0.0725,     0.0455,         25,    29.5990,     0.9533,    13.7241,     4.1435,     0.0000,     0.0000,     0.0000,         35,         96,         11,          8, DEFECTOS 
002.jpg,          2,          1,   196.3158,   199.3158,   117.3684,     3.6056,     3.6056,     3.6056,    78.4826,   -12.9203,    40.4130,     6.2047,     3.2169,     8.9700,     0.1718,     0.4179,     0.7837,     0.0072,     0.1102,     0.0680,         19,    12.1820,     0.5086,     5.3966,     4.6463,     0.0000,     0.0000,     0.0000,         24,         74,          5,          5, DEFECTOS 
002.jpg,          3,          1,   182.5625,   184.8750,   130.0000,     4.0000,     4.0000,     4.0000,    73.7014,    -9.5453,    27.6643,     4.8437,     2.0459,     5.5583,     0.1731,     0.2996,     0.7250,     0.0045,     0.0704,     0.0513,         16,    17.2350,     0.8795,     7.5468,     3.5917,     0.0000,     0.0000,     0.0000,         20,         54,          4,          7, DEFECTOS 
002.jpg,          3,          2,   169.6429,   175.5714,   140.0714,     4.2426,     4.2426,     4.2426,    70.3540,    -8.2597,    17.5388,     3.9526,     0.9004,     2.0710,     0.1945,     0.2031,     0.6885,     0.0012,     0.0283,     0.0416,         14,    12.7360,     0.7628,     5.6913,     3.6799,     0.0000,     0.0000,     0.0000,         83,         54,          5,          4, DEFECTOS 
002.jpg,          3,          3,   171.0000,   176.3636,   143.8182,     4.7958,     4.7958,     4.7958,    70.7151,    -7.5162,    16.0191,     6.9831,     2.6861,     5.7494,     0.1935,     0.1827,     0.6916,     0.0021,     0.0632,     0.0767,         11,     8.7910,     0.6847,     4.4969,     3.2775,     0.0000,     0.0000,     0.0000,        101,         32,          3,          4, DEFECTOS 
002.jpg,          4,          1,   155.2000,   155.9500,   104.9000,     3.6056,     3.6056,     3.6056,    63.1309,    -8.4953,    26.7253,     4.2175,     1.6537,     3.9253,     0.1686,     0.3331,     0.6135,     0.0066,     0.0616,     0.0436,         20,    15.2670,     0.5498,     5.9223,     4.9470,     0.0000,     0.0000,     0.0000,         53,         34,          5,          6, DEFECTOS 
002.jpg,          4,          2,   225.6512,   225.1783,   193.4729,     1.4142,     1.4142,     1.4142,    88.8677,    -5.0387,    15.6441,     5.4946,     1.8558,     6.2075,     0.1666,     0.1489,     0.8892,     0.0154,     0.0629,     0.0575,        129,    58.4530,     0.9484,    24.5113,     7.7687,     0.0000,     0.0000,     0.0000,         90,         14,         18,         18, DEFECTOS 
003.jpg,          1,          1,   206.0270,   212.3874,   182.7477,     1.4142,     1.4142,     1.4142,    83.7927,    -7.2561,    13.9399,     8.0925,     2.0729,     4.2319,     0.1989,     0.1401,     0.8329,     0.0271,     0.0455,     0.0891,        111,    37.7370,     0.7194,    14.4816,    10.0589,     0.0000,     0.0000,     0.0000,         83,         20,         16,         10, CALYX 
003.jpg,          2,          1,   200.4048,   206.1905,   170.8571,     2.4495,     2.4495,     2.4495,    81.5346,    -7.9643,    16.9227,     5.7324,     2.4277,     5.3229,     0.1938,     0.1710,     0.8086,     0.0016,     0.0520,     0.0637,         42,    23.4870,     0.9101,    11.6123,     4.8114,     0.0000,     0.0000,     0.0000,         49,          7,         10,          6, CALYX 
003.jpg,          3,          1,   223.2727,   224.9091,   214.9091,     3.4641,     3.4641,     3.4641,    89.1080,    -2.2964,     4.6843,     4.0854,     0.6725,     1.3133,     0.1928,     0.0443,     0.8820,     0.0068,     0.0123,     0.0458,         22,    16.6560,     0.9144,     8.6963,     3.5209,     0.0000,     0.0000,     0.0000,         58,          2,          8,          4, CALYX 
003.jpg,          4,          1,   204.1786,   206.9643,   199.7857,     3.0000,     3.0000,     3.0000,    82.6820,    -2.2244,     3.2379,     5.4700,     1.0637,     3.0543,     0.3109,     0.0389,     0.8116,     0.1108,     0.0273,     0.0591,         28,    18.1530,     0.8653,     8.5916,     4.3063,     0.0000,     0.0000,     0.0000,         76,          7,          9,          4, CALYX 
003.jpg,          1,          0,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,          0,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,          0,          0,          0,          0, VACIO 
003.jpg,          2,          1,    79.5936,    84.1979,    39.4753,     0.0000,     0.0000,     0.0000,    34.1287,    -8.8303,    24.0316,    15.2236,     5.0366,    13.2898,     0.1878,     0.5482,     0.3305,     0.0812,     0.2052,     0.1458,        566,   104.0960,     0.7657,    35.6771,    22.9472,     0.0000,     0.0000,     0.0000,         49,        111,         28,         32, DEFECTOS 
003.jpg,          3,          1,   144.2375,   119.6500,    38.8625,     1.7321,     1.7321,     1.7321,    51.2883,     1.1622,    43.7760,     5.0320,     5.1374,    11.9126,     0.1275,     0.7254,     0.5656,     0.0132,     0.2114,     0.0552,         80,    40.8050,     0.9107,    16.9038,     6.9840,     0.0000,     0.0000,     0.0000,        106,         83,          8,         15, DEFECTOS 
003.jpg,          4,          1,   146.2831,   122.6386,    29.1566,     1.4142,     1.4142,     1.4142,    52.2094,    -0.1852,    48.6200,     5.3200,     3.5396,     9.5931,     0.1327,     0.8005,     0.5737,     0.0077,     0.1841,     0.0545,        166,    50.4230,     0.7956,    19.0202,    11.5218,     0.0000,     0.0000,     0.0000,         28,         83,         11,         19, DEFECTOS 
004.jpg,          1,          1,   235.2606,   237.8564,   219.8032,     1.0000,     1.0000,     1.0000,    93.3578,    -3.9587,     8.4502,     7.3849,     1.4431,     2.9752,     0.1889,     0.0769,     0.9328,     0.0161,     0.0284,     0.0807,        188,    51.8540,     0.8774,    22.5083,    10.7986,     0.0000,     0.0000,     0.0000,         68,         12,         22,         11, CALYX 
004.jpg,          2,          1,   208.9365,   217.8175,   187.0635,     1.4142,     1.4142,     1.4142,    85.5685,    -8.3089,    14.1432,     5.4737,     2.8200,     3.4854,     0.2127,     0.1415,     0.8542,     0.0213,     0.0366,     0.0615,        126,    40.6230,     0.8365,    17.2541,     9.4558,     0.0000,     0.0000,     0.0000,         55,          9,         17,         10, CALYX 
004.jpg,          3,          1,   221.7034,   227.9661,   208.7712,     1.4142,     1.4142,     1.4142,    89.6192,    -5.4203,     8.6553,     5.5210,     2.4830,     5.2422,     0.2420,     0.0856,     0.8940,     0.0604,     0.0472,     0.0604,        118,    39.2580,     0.8605,    17.3840,     8.8555,     0.0000,     0.0000,     0.0000,         48,          8,         16,          8, CALYX 
004.jpg,          4,          1,   228.6374,   233.3187,   225.0330,     1.7321,     1.7321,     1.7321,    91.8706,    -3.0267,     3.4781,     5.7358,     1.7444,     1.3617,     0.2500,     0.0360,     0.9150,     0.0471,     0.0159,     0.0627,         91,    35.1810,     0.8871,    16.1146,     7.4380,     0.0000,     0.0000,     0.0000,         59,          2,         15,          7, CALYX 
004.jpg,          1,          1,   180.4706,   184.7353,    80.3529,     2.8284,     2.8284,     2.8284,    72.8885,   -15.1302,    49.9963,     4.8333,     4.3914,    12.4448,     0.1726,     0.5679,     0.7291,     0.0105,     0.1663,     0.0529,         34,    25.0500,     0.9331,    12.6098,     4.5343,     0.0000,     0.0000,     0.0000,        130,        101,          5,         11, DEFECTOS 
004.jpg,          1,          2,   161.3673,   163.2245,    68.5510,     2.2361,     2.2361,     2.2361,    65.2153,   -13.1170,    46.7505,     6.3256,     3.9606,    10.6896,     0.1682,     0.5931,     0.6451,     0.0105,     0.1724,     0.0668,         49,    34.2800,     0.9477,    16.4312,     5.2459,     0.0000,     0.0000,     0.0000,        136,        117,         13,         10, DEFECTOS 
004.jpg,          1,          3,   122.1489,   127.2128,    55.5745,     2.2361,     2.2361,     2.2361,    51.4205,   -12.3869,    37.2337,     6.2654,     2.5988,     6.7258,     0.1787,     0.5728,     0.4997,     0.0117,     0.1385,     0.0613,         47,    33.7260,     0.9690,    17.3344,     4.2818,     0.0000,     0.0000,     0.0000,        160,        115,         14,          9, DEFECTOS 
004.jpg,          2,          0,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,          0,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,          0,          0,          0,          0, VACIO 
004.jpg,          3,          0,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,          0,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,          0,          0,          0,          0, VACIO 
004.jpg,          4,          0,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,          0,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,          0,          0,          0,          0, VACIO 
005.jpg,          1,          1,   239.2989,   239.6092,   224.5575,     1.0000,     1.0000,     1.0000,    94.2359,    -2.6532,     7.2456,     5.9838,     1.7296,     4.1049,     0.1964,     0.0669,     0.9427,     0.1267,     0.0352,     0.0668,        174,    53.1440,     0.9188,    23.8979,     9.4342,     0.0000,     0.0000,     0.0000,         71,         21,         23,         11, CALYX 
005.jpg,          2,          1,   212.4853,   220.9926,   189.7574,     1.4142,     1.4142,     1.4142,    86.7142,    -8.2383,    14.3839,     5.5234,     2.4919,     3.5303,     0.2116,     0.1418,     0.8666,     0.0229,     0.0349,     0.0609,        136,    42.3020,     0.8627,    18.6867,     9.4494,     0.0000,     0.0000,     0.0000,         52,         11,         18,         10, CALYX 
005.jpg,          3,          1,   227.2373,   230.3305,   210.6356,     1.4142,     1.4142,     1.4142,    90.6605,    -4.4156,     9.3002,     6.7067,     2.6160,     5.4075,     0.1890,     0.0887,     0.9033,     0.0107,     0.0543,     0.0714,        118,    39.5560,     0.8777,    17.9580,     8.6044,     0.0000,     0.0000,     0.0000,         52,          7,         17,          8, CALYX 
005.jpg,          4,          1,   220.5221,   222.8850,   215.2124,     1.4142,     1.4142,     1.4142,    87.6239,    -2.1171,     3.4269,    23.8124,     1.2505,     2.2868,     0.2115,     0.0558,     0.8741,     0.0765,     0.1317,     0.2362,        113,    40.6890,     0.8752,    17.7720,     8.5979,     0.0000,     0.0000,     0.0000,         67,          1,         16,          9, CALYX 
005.jpg,          1,          1,   158.5500,   145.3500,    63.3250,     2.4495,     2.4495,     2.4495,    59.8228,    -5.1886,    43.4248,    10.5545,     3.5886,     6.3230,     0.1441,     0.6282,     0.6218,     0.0115,     0.1865,     0.1064,         40,    21.9820,     0.8596,    10.3700,     5.2982,     0.0000,     0.0000,     0.0000,         61,        194,         10,          5, DEFECTOS 
005.jpg,          1,          2,   145.5952,   126.8651,    45.8254,     1.4142,     1.4142,     1.4142,    53.2230,    -1.8831,    43.0405,    12.2396,     4.1577,    13.7083,     0.1337,     0.6899,     0.5710,     0.0130,     0.2010,     0.1230,        126,    54.6820,     0.9673,    26.0452,     6.6018,     0.0000,     0.0000,     0.0000,         61,        205,         25,          7, DEFECTOS 
005.jpg,          1,          3,   109.8333,   106.0000,    65.0000,     3.3166,     3.3166,     3.3166,    44.1871,    -5.1161,    23.5522,     5.0474,     1.8124,     3.8721,     0.1521,     0.4167,     0.4310,     0.0119,     0.0889,     0.0494,         24,    15.7380,     0.7155,     7.1137,     4.9699,     0.0000,     0.0000,     0.0000,        184,        138,          5,          7, DEFECTOS 
005.jpg,          2,          1,   129.2857,   115.6429,    73.6071,     3.0000,     3.0000,     3.0000,    48.9739,    -0.8127,    25.0747,     5.4534,     1.0041,     7.9027,     0.1255,     0.4346,     0.5070,     0.0070,     0.1396,     0.0522,         28,    20.5100,     0.6778,     8.0614,     5.9270,     0.0000,     0.0000,     0.0000,        128,        118,          7,          7, DEFECTOS 
005.jpg,          3,          1,   132.1081,   119.0811,    61.4865,     2.6458,     2.6458,     2.6458,    50.0786,    -2.6150,    32.6155,     5.0954,     1.4552,    11.0758,     0.1384,     0.5309,     0.5186,     0.0152,     0.1792,     0.0567,         37,    22.2880,     0.8557,    10.3374,     5.3497,     0.0000,     0.0000,     0.0000,         31,        127,          9,          7, DEFECTOS 
005.jpg,          3,          2,   174.6923,   167.4872,    78.7179,     2.6458,     2.6458,     2.6458,    67.6332,    -8.9001,    45.2445,     5.1785,     2.6333,    10.4292,     0.1530,     0.5565,     0.6851,     0.0072,     0.1531,     0.0573,         39,    21.6180,     0.5760,     8.7311,     7.1373,     0.0000,     0.0000,     0.0000,         51,         97,          8,          7, DEFECTOS 
005.jpg,          3,          3,   108.7792,   100.5779,    55.8571,     1.4142,     1.4142,     1.4142,    42.1856,    -3.1829,    25.5684,    12.9505,     2.0090,    12.3121,     0.1378,     0.5208,     0.4267,     0.0281,     0.2210,     0.1256,        154,    51.6640,     0.8064,    19.2451,    11.3819,     0.0000,     0.0000,     0.0000,        126,         67,         12,         20, DEFECTOS 
005.jpg,          4,          1,   121.2515,   109.7030,    60.0198,     1.0000,     1.0000,     1.0000,    46.2754,    -2.5191,    28.9758,     6.0969,     2.6206,     7.3491,     0.1351,     0.5102,     0.4755,     0.0141,     0.1326,     0.0606,        505,   122.2750,     0.5626,    31.0671,    25.6851,     0.0000,     0.0000,     0.0000,         52,         74,         28,         32, DEFECTOS 
005.jpg,          4,          2,   128.0000,   123.0286,    77.8571,     2.6458,     2.6458,     2.6458,    51.0498,    -5.1072,    25.3043,     4.1416,     1.6215,     7.3342,     0.1527,     0.3971,     0.5040,     0.0164,     0.1254,     0.0420,         35,    24.7030,     0.8762,    10.3249,     4.9767,     0.0000,     0.0000,     0.0000,         95,         70,          8,          7, DEFECTOS 
005.jpg,          4,          3,   117.6667,   110.7111,    56.8667,     1.4142,     1.4142,     1.4142,    46.1908,    -5.0177,    30.4473,     5.7382,     2.2943,     6.5343,     0.1482,     0.5292,     0.4619,     0.0117,     0.1538,     0.0544,        135,    48.5130,     0.8732,    20.0195,     9.7556,     0.0000,     0.0000,     0.0000,        111,         94,         17,         16, DEFECTOS 
006.jpg,          1,          1,   193.3210,   202.7346,   165.2346,     1.4142,     1.4142,     1.4142,    79.8228,    -9.5981,    17.7157,    12.4779,     3.6755,     7.6933,     0.2121,     0.1905,     0.7950,     0.0183,     0.0859,     0.1349,        162,    50.6710,     0.9312,    23.9995,     8.7468,     0.0000,     0.0000,     0.0000,         88,          6,         23,          8, CALYX 
006.jpg,          2,          1,   189.5342,   198.9178,   163.7055,     1.4142,     1.4142,     1.4142,    78.5651,    -9.2897,    16.5761,    10.0869,     3.3954,     7.1384,     0.2166,     0.1792,     0.7805,     0.0351,     0.0721,     0.1070,        146,    43.5260,     0.7627,    17.4008,    11.2547,     0.0000,     0.0000,     0.0000,         49,          6,         18,         11, CALYX 
